N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
285.0,효성중공업,70000.0,500.0,+0.72%,5000.0,30947.0,40227.0,1201.0
286.0,ARIRANG 200,32940.0,60.0,-0.18%,0.0,,,
287.0,동아쏘시오홀딩스,101000.0,500.0,-0.49%,5000.0,8819.0,16914.0,616.0
288.0,코스맥스,55900.0,2000.0,+3.71%,500.0,15915.0,14119.0,1226.0
289.0,파미셀,10550.0,50.0,-0.47%,500.0,509.0,958.0,76.0
290.0,KODEX MSCI Korea TR,10665.0,10.0,-0.09%,0.0,,,
291.0,화승엔터프라이즈,10400.0,620.0,+6.34%,500.0,11386.0,13303.0,71.0
292.0,HANARO 200,32430.0,60.0,-0.18%,0.0,,,
293.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),10975.0,150.0,+1.39%,0.0,,,
294.0,진원생명과학,7970.0,560.0,+7.56%,1000.0,387.0,2495.0,-275.0
295.0,SPC삼립,71000.0,400.0,+0.57%,5000.0,29467.0,12230.0,662.0
296.0,세방전지,43250.0,1150.0,+2.73%,500.0,13520.0,16844.0,997.0
297.0,한국단자,58100.0,300.0,+0.52%,500.0,9622.0,11252.0,762.0
298.0,SK디스커버리,31550.0,750.0,+2.44%,5000.0,66143.0,68819.0,744.0
299.0,세아제강지주,144000.0,1000.0,+0.70%,5000.0,28417.0,28990.0,2990.0
300.0,코오롱글로벌,23650.0,100.0,+0.42%,5000.0,47495.0,25757.0,2415.0
301.0,제주항공,11950.0,200.0,+1.70%,1000.0,2731.0,12668.0,-3172.0
302.0,티와이홀딩스,11600.0,150.0,+1.31%,500.0,2952.0,21322.0,112.0
303.0,삼양홀딩스,68700.0,100.0,-0.15%,5000.0,31073.0,44606.0,3517.0
304.0,지누스,33900.0,200.0,+0.59%,500.0,11238.0,10186.0,743.0
305.0,SBS,31950.0,1350.0,+4.41%,5000.0,10790.0,14621.0,1844.0
306.0,쿠쿠홀딩스,16300.0,100.0,+0.62%,100.0,6851.0,10709.0,1070.0
307.0,부광약품,8140.0,140.0,+1.75%,500.0,1825.0,3974.0,56.0
308.0,KODEX 자동차,17130.0,350.0,+2.09%,0.0,,,
309.0,쏘카,17600.0,900.0,-4.86%,100.0,2890.0,4332.0,-210.0
310.0,현대홈쇼핑,47700.0,0.0,0.00%,5000.0,22099.0,26003.0,1285.0
311.0,한화투자증권,2650.0,35.0,+1.34%,5000.0,19115.0,117910.0,2088.0
312.0,KODEX Top5PlusTR,15250.0,20.0,-0.13%,0.0,,,
313.0,삼성SDI우,338500.0,1500.0,-0.44%,5000.0,,,
314.0,KODEX 코스닥150,10420.0,140.0,-1.33%,0.0,,,
315.0,KOSEF 200TR,39400.0,70.0,-0.18%,0.0,,,
316.0,ACE 200,32605.0,60.0,-0.18%,0.0,,,
317.0,TIGER 미국달러단기채권액티브,11280.0,25.0,-0.22%,0.0,,,
318.0,동원F&B,138000.0,2500.0,+1.85%,5000.0,34906.0,19357.0,1304.0
319.0,미래에셋증권2우B,3780.0,10.0,+0.27%,5000.0,,,
320.0,신영증권,55800.0,600.0,+1.09%,5000.0,21122.0,110850.0,1213.0
321.0,신한알파리츠,7090.0,80.0,-1.12%,1000.0,482.0,18937.0,288.0
322.0,QV 코스피 변동성 매칭형 양매도 ETN,7465.0,5.0,-0.07%,0.0,,,
323.0,유안타증권,2615.0,10.0,+0.38%,5000.0,23090.0,147149.0,3214.0
324.0,KBSTAR KIS종합채권(A-이상)액티브,92385.0,165.0,+0.18%,0.0,,,
325.0,영진약품,2850.0,30.0,+1.06%,500.0,1961.0,1941.0,-139.0
326.0,경동나비엔,35750.0,1000.0,+2.88%,1000.0,11029.0,9339.0,643.0
327.0,삼성화재우,161500.0,500.0,+0.31%,500.0,,,
328.0,엠씨넥스,28600.0,600.0,+2.14%,500.0,10093.0,5255.0,239.0
329.0,아모레퍼시픽우,48650.0,1000.0,+2.10%,500.0,,,
330.0,애경케미칼,10550.0,200.0,+1.93%,500.0,15701.0,12450.0,933.0
331.0,동아에스티,60500.0,100.0,-0.17%,5000.0,5932.0,11160.0,156.0
332.0,프레스티지바이오파마,8370.0,50.0,+0.60%,0.0,,5176.0,-235.0
333.0,HSD엔진,7020.0,10.0,+0.14%,1000.0,5990.0,7956.0,-398.0
334.0,SK디앤디,22550.0,150.0,-0.66%,1000.0,7910.0,19834.0,1294.0
335.0,미래에셋생명,2800.0,25.0,+0.90%,5000.0,35329.0,419973.0,1065.0
336.0,한미글로벌,44800.0,250.0,-0.55%,500.0,2701.0,2853.0,196.0
337.0,한국카본,11050.0,200.0,-1.78%,500.0,3678.0,4984.0,327.0
338.0,ACE 미국S&P500,13265.0,5.0,-0.04%,0.0,,,
339.0,SGC에너지,32800.0,250.0,+0.77%,5000.0,18984.0,25915.0,1522.0
340.0,NICE,12700.0,100.0,-0.78%,500.0,24499.0,30838.0,1443.0
341.0,롯데손해보험,1545.0,15.0,-0.96%,1000.0,35446.0,189112.0,1294.0
342.0,TIGER KRX2차전지K-뉴딜,16675.0,215.0,-1.27%,0.0,,,
343.0,콘텐트리중앙,24750.0,450.0,-1.79%,5000.0,6771.0,22456.0,-574.0
344.0,KODEX 선진국MSCI World,20095.0,190.0,-0.94%,0.0,,,
345.0,송원산업,19150.0,650.0,+3.51%,500.0,9982.0,11156.0,1057.0
346.0,KODEX 단기변동금리부채권액티브,104375.0,5.0,0.00%,0.0,,,
347.0,고려제강,19750.0,350.0,+1.80%,1000.0,16914.0,24743.0,985.0
348.0,LF,15500.0,50.0,+0.32%,5000.0,17931.0,25411.0,1589.0
349.0,KODEX 미국S&P500TR,11660.0,20.0,-0.17%,0.0,,,
350.0,남해화학,9070.0,60.0,+0.67%,1000.0,14519.0,7191.0,205.0
351.0,동일산업,185500.0,0.0,0.00%,5000.0,4644.0,4738.0,420.0
352.0,KB스타리츠,4375.0,0.0,0.00%,500.0,,3.0,0.0
353.0,DI동일,17250.0,1100.0,+6.81%,500.0,8131.0,9931.0,486.0
354.0,세아제강,154500.0,500.0,+0.32%,5000.0,14974.0,12282.0,1319.0
355.0,JW중외제약,19700.0,400.0,+2.07%,2500.0,6066.0,6331.0,312.0
356.0,풀무원,11450.0,250.0,+2.23%,500.0,25189.0,19694.0,385.0
357.0,애경산업,16350.0,100.0,-0.61%,1000.0,5739.0,4315.0,244.0
358.0,자화전자,21450.0,100.0,+0.47%,500.0,3479.0,4379.0,163.0
359.0,한화손해보험,3680.0,15.0,+0.41%,5000.0,79926.0,202850.0,1343.0
360.0,코람코에너지리츠,4840.0,25.0,-0.51%,500.0,268.0,13155.0,202.0
361.0,TIGER 미국S&P500선물(H),46380.0,90.0,-0.19%,0.0,,,
362.0,효성화학,133500.0,4500.0,+3.49%,5000.0,24530.0,30562.0,1486.0
363.0,미래에셋 레버리지 원유선물혼합 ETN(H),10290.0,255.0,+2.54%,0.0,,,
364.0,신성이엔지,2045.0,5.0,-0.24%,500.0,4545.0,4767.0,24.0
365.0,KOSEF 국고채10년,106950.0,155.0,-0.14%,0.0,,,
366.0,유나이티드제약,25750.0,1250.0,+5.10%,500.0,2210.0,3800.0,332.0
367.0,국도화학,46050.0,1250.0,+2.79%,5000.0,15771.0,14164.0,2047.0
368.0,코오롱플라스틱,10750.0,300.0,+2.87%,1000.0,4053.0,3691.0,277.0
369.0,삼양사,39300.0,1000.0,+2.61%,5000.0,23845.0,28020.0,826.0
370.0,서흥,35000.0,250.0,-0.71%,500.0,5967.0,8100.0,696.0
371.0,세아홀딩스,100500.0,500.0,+0.50%,5000.0,60055.0,55378.0,3082.0
372.0,신영증권우,56900.0,500.0,-0.87%,5000.0,,,
373.0,KEC,2765.0,40.0,+1.47%,500.0,2675.0,4006.0,265.0
374.0,SIMPAC,6110.0,270.0,-4.23%,500.0,6130.0,9032.0,1064.0
375.0,ACE 미국나스닥100,11880.0,40.0,+0.34%,0.0,,,
